,Plot_Specification,Construction Status,Total Area,Price per Sq ft,Location,city,Builder,BHK,price(in_lakhs)
556,Apartment,Ready to move,1250 ,"9,796 / sq ft",Yeshwantpur,Bangalore,Pratham Constructions,2,122.0
557,Apartment,Ready to move,1295 ,"9,785 / sq ft",Yeshwantpur,Bangalore,Pratham Constructions,2,126.0
558,Apartment,Ready to move,1295 ,"9,785 / sq ft",Yeshwantpur,Bangalore,Pratham Constructions,2,126.0
559,Apartment,Ready to move,2560 ,"9,788 / sq ft",Yeshwantpur,Bangalore,Pratham Constructions,4,250.0
560,Apartment,Ready to move,2560 ,"9,788 / sq ft",Yeshwantpur,Bangalore,Pratham Constructions,4,250.0
561,Apartment,Under Construction,933 ,"7,502 / sq ft",Begur,Bangalore,Assetz Property Group,2,70.0
562,Apartment,Under Construction,1020 ,"7,549 / sq ft",Begur,Bangalore,Assetz Property Group,2,77.0
563,Apartment,Under Construction,1020 ,"7,549 / sq ft",Begur,Bangalore,Assetz Property Group,2,77.0
564,Apartment,Under Construction,1194 ,"7,286 / sq ft",Begur,Bangalore,Assetz Property Group,3,87.0
565,Apartment,Under Construction,1194 ,"7,286 / sq ft",Begur,Bangalore,Assetz Property Group,3,87.0
566,Apartment,Under Construction,998 ,"7,615 / sq ft",Begur,Bangalore,Assetz Property Group,2,76.0
567,Apartment,Under Construction,998 ,"7,615 / sq ft",Begur,Bangalore,Assetz Property Group,2,76.0
568,Apartment,Under Construction,1165 ,"7,304 / sq ft",Begur,Bangalore,Assetz Property Group,3,85.1
569,Apartment,Under Construction,1165 ,"7,304 / sq ft",Begur,Bangalore,Assetz Property Group,3,85.1
570,Apartment,Under Construction,1203 ,"7,398 / sq ft",Begur,Bangalore,Assetz Property Group,3,89.0
571,Apartment,Under Construction,1203 ,"7,398 / sq ft",Begur,Bangalore,Assetz Property Group,3,89.0
572,Apartment,Under Construction,1250 ,"6,436 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,80.45
573,Apartment,Under Construction,1180 ,"6,557 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,77.38
574,Apartment,Under Construction,1180 ,"6,557 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,77.38
575,Apartment,Under Construction,1160 ,"6,563 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,76.13
576,Apartment,Under Construction,1290 ,"6,427 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,82.91
577,Apartment,Under Construction,1160 ,"6,563 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,76.13
578,Apartment,Under Construction,1170 ,"6,560 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,76.75
579,Apartment,Under Construction,1290 ,"6,427 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,82.91
580,Apartment,Under Construction,1300 ,"6,425 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,83.52
581,Apartment,Under Construction,1170 ,"6,560 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,76.75
582,Apartment,Under Construction,1235 ,"6,440 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,79.53
583,Apartment,Under Construction,1300 ,"6,425 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,83.52
584,Apartment,Under Construction,1235 ,"6,440 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,79.53
585,Apartment,Under Construction,1365 ,"6,411 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,87.52
586,Apartment,Under Construction,1230 ,"6,441 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,79.22
587,Apartment,Under Construction,1365 ,"6,411 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,87.52
588,Apartment,Under Construction,1345 ,"6,415 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,86.29
589,Apartment,Under Construction,1230 ,"6,441 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,79.22
590,Apartment,Under Construction,1345 ,"6,415 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,86.29
591,Apartment,Under Construction,1275 ,"6,430 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,81.99
592,Apartment,Under Construction,1275 ,"6,430 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,81.99
593,Apartment,Under Construction,1210 ,"6,446 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,77.99
594,Apartment,Under Construction,1210 ,"6,446 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,77.99
595,Apartment,Under Construction,1405 ,"6,404 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,89.97
596,Apartment,Under Construction,1405 ,"6,404 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,89.97
597,Apartment,Under Construction,1140 ,"6,568 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,74.88
598,Apartment,Under Construction,1220 ,"6,443 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,78.61
599,Apartment,Under Construction,1140 ,"6,568 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,74.88
600,Apartment,Under Construction,1155 ,"6,460 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,74.62
601,Apartment,Under Construction,1220 ,"6,443 / sq ft",Whitefield Hope Farm Junction,Bangalore,Saroj Group,2,78.61
